epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.838,1.90736,3.51032,1.68675,0.00678,0.87467,0.2394,0.08661,1.87442,3.65622,1.69572,0.0003875,0.0003875,0.0003875
2,271.528,1.75047,2.55493,1.50587,0.27402,0.29779,0.29102,0.12818,1.77705,2.9792,1.6311,0.000779704,0.000779704,0.000779704
3,391.855,1.65894,2.35572,1.46122,0.26371,0.41172,0.26706,0.11193,1.84698,2.94582,1.79024,0.00116399,0.00116399,0.00116399
4,541.958,1.66,2.36792,1.48851,0.56208,0.32279,0.34639,0.1299,1.85938,3.04503,1.97685,0.00121287,0.00121287,0.00121287
5,673.443,1.6328,2.14186,1.48179,0.43883,0.44079,0.36557,0.15635,1.72462,3.00004,1.74147,0.0012005,0.0012005,0.0012005
6,797.543,1.5594,2.05241,1.46644,0.37288,0.58872,0.44025,0.2043,1.72559,2.70079,1.83193,0.00118812,0.00118812,0.00118812
7,914.105,1.62446,2.06069,1.52182,0.45811,0.46162,0.44761,0.17673,1.88,2.56265,2.02268,0.00117575,0.00117575,0.00117575
8,1026.35,1.544,1.91584,1.46405,0.54021,0.41014,0.37468,0.17766,1.67544,2.65944,1.66407,0.00116337,0.00116337,0.00116337
