epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.7198,2.17289,3.89075,2.00029,0.00605,0.84114,0.19298,0.06485,2.00486,3.41613,1.7863,0.0001875,0.0001875,0.0001875
2,10.6592,1.71451,2.73839,1.5913,0.00683,0.92215,0.3039,0.11446,1.73166,3.03756,1.58611,0.000386221,0.000386221,0.000386221
3,14.5141,1.64541,2.40001,1.52396,0.73675,0.11399,0.26432,0.10234,1.73258,2.67824,1.6263,0.000583623,0.000583623,0.000583623
4,18.2953,1.68787,2.23663,1.5019,0.73956,0.19943,0.29752,0.12211,1.72951,2.47693,1.59399,0.000779704,0.000779704,0.000779704
5,22.0709,1.65135,2.21995,1.47954,0.67059,0.25724,0.35397,0.14141,1.7575,2.41424,1.6814,0.000974465,0.000974465,0.000974465
6,25.8396,1.57061,2.05836,1.43314,0.51735,0.41156,0.40201,0.15785,1.70576,2.60706,1.65951,0.00116791,0.00116791,0.00116791
7,29.8338,1.60532,2.02449,1.46623,0.90513,0.20905,0.42077,0.1882,1.89959,2.44407,1.72251,0.00122525,0.00122525,0.00122525
8,33.6388,1.52743,1.96564,1.41436,0.51626,0.47393,0.41638,0.18334,1.67312,2.38435,1.54561,0.00122112,0.00122112,0.00122112
9,37.4407,1.57696,1.92198,1.45868,0.48534,0.54408,0.4914,0.22541,1.6042,2.04392,1.51816,0.001217,0.001217,0.001217
10,41.2513,1.56894,1.83634,1.43674,0.40364,0.51166,0.40993,0.16547,1.75431,2.66242,1.64751,0.00121287,0.00121287,0.00121287
11,45.0802,1.5693,1.80793,1.42243,0.49871,0.41091,0.45159,0.22444,1.60456,2.48585,1.55616,0.00120875,0.00120875,0.00120875
12,48.8638,1.48308,1.79372,1.39806,0.43913,0.47551,0.47192,0.23101,1.56635,1.98671,1.51823,0.00120462,0.00120462,0.00120462
13,52.7071,1.46537,1.77692,1.38598,0.60535,0.50419,0.51176,0.22103,1.65708,1.90713,1.50527,0.0012005,0.0012005,0.0012005
14,56.5186,1.50816,1.75394,1.41469,0.49018,0.57372,0.58118,0.28848,1.57134,1.8976,1.54793,0.00119637,0.00119637,0.00119637
15,60.305,1.46619,1.67992,1.36547,0.39995,0.59205,0.50988,0.23113,1.6193,1.9715,1.5098,0.00119225,0.00119225,0.00119225
16,64.1097,1.44694,1.62216,1.35641,0.69856,0.44437,0.45494,0.19821,1.66266,2.26726,1.54822,0.00118812,0.00118812,0.00118812
17,67.9278,1.45775,1.61269,1.37939,0.45383,0.60282,0.52551,0.2615,1.51876,1.77974,1.47019,0.001184,0.001184,0.001184
18,71.731,1.43881,1.61257,1.37213,0.50659,0.57,0.59319,0.29655,1.4991,1.66721,1.46962,0.00117988,0.00117988,0.00117988
19,75.4854,1.44774,1.55701,1.36298,0.67059,0.54837,0.62353,0.30239,1.65284,1.57325,1.57128,0.00117575,0.00117575,0.00117575
20,79.2826,1.46479,1.56672,1.38977,0.50087,0.64161,0.56643,0.27133,1.70621,1.55755,1.61874,0.00117163,0.00117163,0.00117163
21,83.0884,1.42077,1.49935,1.35997,0.70825,0.48799,0.62471,0.2698,1.65926,1.70055,1.50881,0.0011675,0.0011675,0.0011675
22,86.8675,1.42297,1.50711,1.36039,0.64826,0.63397,0.64353,0.32774,1.489,1.42052,1.41169,0.00116337,0.00116337,0.00116337
23,90.6616,1.41379,1.45993,1.33086,0.59218,0.56595,0.55799,0.27706,1.65137,1.70554,1.56113,0.00115925,0.00115925,0.00115925
24,94.4378,1.42922,1.47459,1.34233,0.67013,0.63299,0.66278,0.3335,1.56922,1.46488,1.4572,0.00115513,0.00115513,0.00115513
25,98.3228,1.38621,1.43658,1.31512,0.59206,0.62081,0.66425,0.34777,1.49389,1.3956,1.43044,0.001151,0.001151,0.001151
26,102.079,1.37928,1.38051,1.31825,0.66939,0.66405,0.7018,0.35488,1.54525,1.34102,1.44358,0.00114688,0.00114688,0.00114688
27,105.838,1.40389,1.3738,1.32257,0.6488,0.72383,0.72396,0.38108,1.466,1.32857,1.3783,0.00114275,0.00114275,0.00114275
28,109.833,1.39825,1.42424,1.34339,0.50771,0.75162,0.69286,0.36818,1.48311,1.29669,1.41023,0.00113863,0.00113863,0.00113863
29,113.639,1.35918,1.37335,1.30394,0.71956,0.50799,0.61477,0.33635,1.42641,1.55171,1.3615,0.0011345,0.0011345,0.0011345
30,117.413,1.35401,1.35206,1.29885,0.78465,0.56238,0.66039,0.36684,1.42681,1.48293,1.34106,0.00113038,0.00113038,0.00113038
31,121.151,1.37419,1.32504,1.28827,0.5883,0.60136,0.62941,0.31602,1.40593,1.42347,1.32449,0.00112625,0.00112625,0.00112625
32,124.897,1.37273,1.3468,1.3055,0.64469,0.71841,0.70588,0.38177,1.39841,1.32334,1.34714,0.00112213,0.00112213,0.00112213
33,128.646,1.34172,1.31012,1.29235,0.58934,0.70949,0.66599,0.36294,1.41988,1.29177,1.38161,0.001118,0.001118,0.001118
34,132.412,1.33739,1.30639,1.27119,0.58267,0.73475,0.67008,0.37065,1.47699,1.28776,1.39718,0.00111388,0.00111388,0.00111388
35,136.206,1.36743,1.31002,1.3153,0.69068,0.75656,0.76076,0.40692,1.49127,1.25854,1.43621,0.00110975,0.00110975,0.00110975
36,140.006,1.38888,1.32865,1.30615,0.50175,0.78581,0.6601,0.33306,1.67793,1.36112,1.52384,0.00110563,0.00110563,0.00110563
37,143.835,1.33496,1.29185,1.28829,0.72738,0.51965,0.62141,0.31367,1.58546,1.48876,1.45754,0.0011015,0.0011015,0.0011015
38,147.594,1.34844,1.29343,1.31763,0.61908,0.55155,0.60122,0.32052,1.46233,1.54585,1.39982,0.00109738,0.00109738,0.00109738
39,151.325,1.3167,1.28265,1.2829,0.50155,0.56253,0.5636,0.31047,1.40912,1.57381,1.36155,0.00109325,0.00109325,0.00109325
40,155.085,1.28304,1.25455,1.28146,0.63197,0.53722,0.53231,0.27472,1.4924,1.65369,1.37786,0.00108913,0.00108913,0.00108913
41,158.874,1.36197,1.30359,1.2917,0.63837,0.68071,0.69963,0.39755,1.41514,1.26269,1.36268,0.001085,0.001085,0.001085
42,162.853,1.31067,1.26057,1.25936,0.61641,0.7175,0.73253,0.39813,1.40351,1.17353,1.31918,0.00108088,0.00108088,0.00108088
43,166.787,1.31466,1.22243,1.26075,0.61479,0.69989,0.72151,0.40677,1.359,1.20718,1.32335,0.00107675,0.00107675,0.00107675
44,170.656,1.29442,1.18648,1.26238,0.62161,0.76198,0.74263,0.41332,1.34657,1.17986,1.28846,0.00107263,0.00107263,0.00107263
45,174.675,1.26322,1.20231,1.25641,0.65031,0.79362,0.74044,0.41712,1.34362,1.16435,1.28878,0.0010685,0.0010685,0.0010685
46,178.873,1.30432,1.19674,1.26288,0.71809,0.67847,0.7633,0.42094,1.45333,1.20477,1.38774,0.00106437,0.00106437,0.00106437
47,182.824,1.35764,1.18846,1.27024,0.69671,0.7023,0.76697,0.43095,1.34684,1.18327,1.28557,0.00106025,0.00106025,0.00106025
48,186.773,1.29004,1.17657,1.24263,0.69603,0.798,0.75705,0.43157,1.33613,1.17806,1.31151,0.00105612,0.00105612,0.00105612
49,190.683,1.25543,1.16321,1.22717,0.7028,0.78339,0.73707,0.42168,1.35554,1.14963,1.2985,0.001052,0.001052,0.001052
50,194.502,1.31212,1.19363,1.248,0.66717,0.78096,0.75128,0.42677,1.4004,1.12991,1.30926,0.00104787,0.00104787,0.00104787
51,198.327,1.22862,1.1582,1.21919,0.61181,0.7277,0.76164,0.41483,1.3206,1.19167,1.29054,0.00104375,0.00104375,0.00104375
52,202.2,1.27326,1.18398,1.23982,0.72834,0.72943,0.77794,0.41146,1.43299,1.18187,1.36371,0.00103962,0.00103962,0.00103962
53,206.004,1.23646,1.17211,1.24842,0.66993,0.79085,0.75957,0.43654,1.35189,1.08731,1.31384,0.0010355,0.0010355,0.0010355
54,209.769,1.23414,1.10012,1.21441,0.65743,0.80232,0.76574,0.41454,1.43638,1.10938,1.35881,0.00103138,0.00103138,0.00103138
55,213.555,1.24723,1.1077,1.22498,0.77453,0.66066,0.768,0.43843,1.36795,1.18958,1.30269,0.00102725,0.00102725,0.00102725
56,217.339,1.18292,1.07185,1.22454,0.83312,0.625,0.76398,0.43499,1.41191,1.20945,1.34096,0.00102312,0.00102312,0.00102312
57,221.334,1.25019,1.13396,1.24132,0.73412,0.81009,0.80766,0.47268,1.35419,1.08759,1.33334,0.001019,0.001019,0.001019
58,225.216,1.25233,1.11561,1.22367,0.72649,0.81839,0.79969,0.47037,1.26632,1.05011,1.27399,0.00101488,0.00101488,0.00101488
59,229.089,1.22024,1.08711,1.21352,0.64435,0.83425,0.77906,0.46768,1.3251,1.05985,1.28931,0.00101075,0.00101075,0.00101075
60,233.022,1.24625,1.11011,1.23784,0.71781,0.75835,0.77503,0.44741,1.33516,1.07095,1.31084,0.00100663,0.00100663,0.00100663
61,236.837,1.19023,1.08598,1.22067,0.70859,0.72273,0.74155,0.45009,1.2744,1.17348,1.2687,0.0010025,0.0010025,0.0010025
62,240.729,1.15226,1.04659,1.20746,0.70742,0.74472,0.76264,0.44101,1.3243,1.11693,1.27011,0.000998375,0.000998375,0.000998375
63,244.717,1.23556,1.08987,1.21342,0.67449,0.76722,0.76429,0.45356,1.30607,1.0666,1.2684,0.00099425,0.00099425,0.00099425
64,248.6,1.2216,1.11002,1.21663,0.66832,0.71784,0.72779,0.43042,1.30819,1.13251,1.27405,0.000990125,0.000990125,0.000990125
65,252.409,1.19896,1.06811,1.18559,0.64654,0.75938,0.74202,0.44974,1.28305,1.12014,1.27381,0.000986,0.000986,0.000986
66,256.265,1.18903,1.03683,1.18895,0.73465,0.75742,0.79667,0.47863,1.2791,1.10306,1.23105,0.000981875,0.000981875,0.000981875
67,260.252,1.14213,1.04634,1.1553,0.74227,0.73231,0.79001,0.4483,1.30743,1.02293,1.27153,0.00097775,0.00097775,0.00097775
68,264.224,1.17295,1.02112,1.18207,0.70485,0.79279,0.79486,0.47543,1.24856,1.04027,1.23531,0.000973625,0.000973625,0.000973625
69,268.108,1.14809,1.03959,1.18093,0.70277,0.75563,0.76736,0.46042,1.25246,1.09456,1.24472,0.0009695,0.0009695,0.0009695
70,271.931,1.17266,1.01571,1.19441,0.69536,0.82903,0.79754,0.47291,1.29551,1.06167,1.23727,0.000965375,0.000965375,0.000965375
71,275.701,1.16247,0.99808,1.19427,0.73485,0.77417,0.82045,0.51799,1.24294,0.95426,1.20999,0.00096125,0.00096125,0.00096125
72,279.556,1.14698,0.99809,1.16049,0.73108,0.81679,0.78821,0.49495,1.2466,0.99227,1.2163,0.000957125,0.000957125,0.000957125
73,283.478,1.15032,0.97584,1.17897,0.72625,0.86549,0.77726,0.49903,1.28477,0.9512,1.25504,0.000953,0.000953,0.000953
74,287.393,1.14287,1.0065,1.16469,0.64502,0.80502,0.76021,0.49653,1.23255,0.97907,1.23273,0.000948875,0.000948875,0.000948875
75,291.26,1.11906,0.97338,1.17023,0.67056,0.76516,0.75599,0.48535,1.28221,1.00345,1.28014,0.00094475,0.00094475,0.00094475
76,295.177,1.1675,1.02342,1.18213,0.74181,0.76047,0.79323,0.49599,1.32798,0.97962,1.29129,0.000940625,0.000940625,0.000940625
77,299.217,1.17475,1.01815,1.18517,0.70582,0.82669,0.82237,0.52468,1.22532,0.9662,1.24084,0.0009365,0.0009365,0.0009365
78,303.162,1.11021,0.97699,1.15615,0.75902,0.76815,0.80693,0.50252,1.29333,0.98023,1.26076,0.000932375,0.000932375,0.000932375
79,307.054,1.11462,0.95876,1.14863,0.70469,0.83132,0.81614,0.5259,1.22678,0.92553,1.20487,0.00092825,0.00092825,0.00092825
80,311.1,1.11377,0.97776,1.16903,0.71666,0.79755,0.80781,0.50638,1.21109,0.95773,1.19526,0.000924125,0.000924125,0.000924125
81,315.211,1.12619,0.95992,1.17734,0.74652,0.79094,0.79664,0.48809,1.25061,0.94664,1.24641,0.00092,0.00092,0.00092
82,319.226,1.08813,0.92964,1.14875,0.65235,0.868,0.8074,0.5183,1.21913,0.93199,1.19257,0.000915875,0.000915875,0.000915875
83,323.422,1.11761,0.94677,1.13861,0.61793,0.80268,0.74621,0.46601,1.25466,1.03935,1.2387,0.00091175,0.00091175,0.00091175
84,327.532,1.10514,0.96721,1.14789,0.64804,0.88876,0.77117,0.50257,1.21283,0.94768,1.20901,0.000907625,0.000907625,0.000907625
85,331.671,1.09916,0.97487,1.15942,0.7319,0.87244,0.83884,0.5181,1.19624,0.88322,1.20679,0.0009035,0.0009035,0.0009035
86,335.863,1.12765,0.95114,1.15446,0.74205,0.81747,0.81651,0.52695,1.1682,0.89007,1.20476,0.000899375,0.000899375,0.000899375
87,340.128,1.08603,0.99028,1.14766,0.68447,0.84924,0.79397,0.52152,1.17976,0.91117,1.18938,0.00089525,0.00089525,0.00089525
88,344.175,1.08161,0.95568,1.13782,0.6863,0.84661,0.79835,0.54817,1.14703,0.89638,1.18138,0.000891125,0.000891125,0.000891125
89,348.38,1.08712,0.9329,1.14782,0.68922,0.79405,0.81396,0.55122,1.18481,0.89898,1.20344,0.000887,0.000887,0.000887
90,352.591,1.08929,0.93935,1.15192,0.71086,0.75736,0.82021,0.5445,1.16016,0.95919,1.17218,0.000882875,0.000882875,0.000882875
91,356.795,1.09056,0.91557,1.14395,0.77987,0.78588,0.82924,0.54383,1.15939,0.93009,1.16826,0.00087875,0.00087875,0.00087875
92,361.001,1.07706,0.89895,1.12595,0.74199,0.75798,0.80996,0.51082,1.25127,0.95429,1.23898,0.000874625,0.000874625,0.000874625
93,365.146,1.04149,0.89384,1.11686,0.73093,0.84653,0.82066,0.56169,1.12863,0.86522,1.15194,0.0008705,0.0008705,0.0008705
94,369.266,1.06141,0.91431,1.13628,0.73857,0.84232,0.7864,0.54321,1.13284,0.88207,1.18409,0.000866375,0.000866375,0.000866375
95,373.411,1.06175,0.91674,1.14698,0.77506,0.86331,0.84081,0.579,1.14211,0.88493,1.18035,0.00086225,0.00086225,0.00086225
96,377.519,1.06605,0.93484,1.1377,0.74521,0.8429,0.82254,0.56155,1.15456,0.88577,1.18287,0.000858125,0.000858125,0.000858125
97,381.558,1.06157,0.90358,1.13447,0.7564,0.86863,0.82272,0.56194,1.16534,0.87833,1.20408,0.000854,0.000854,0.000854
98,385.725,1.06712,0.89146,1.1399,0.7364,0.82819,0.80375,0.55154,1.15996,0.90464,1.17327,0.000849875,0.000849875,0.000849875
99,389.796,1.05792,0.87972,1.1259,0.8012,0.80398,0.83544,0.57515,1.15659,0.89901,1.16919,0.00084575,0.00084575,0.00084575
100,393.869,1.05175,0.89016,1.13773,0.81944,0.74418,0.81124,0.56227,1.17705,0.92358,1.17634,0.000841625,0.000841625,0.000841625
101,398.053,1.05337,0.8685,1.11726,0.79438,0.85315,0.84065,0.58715,1.16581,0.89268,1.18093,0.0008375,0.0008375,0.0008375
102,402.153,1.02169,0.87635,1.09833,0.76499,0.8385,0.84766,0.58319,1.20459,0.87464,1.22018,0.000833375,0.000833375,0.000833375
103,406.38,1.04581,0.87192,1.11533,0.7588,0.84563,0.8421,0.59093,1.15123,0.88109,1.18798,0.00082925,0.00082925,0.00082925
104,410.385,1.01998,0.83476,1.12112,0.79567,0.8044,0.84527,0.57675,1.1717,0.87327,1.1987,0.000825125,0.000825125,0.000825125
105,414.448,1.00834,0.8584,1.10909,0.74644,0.83641,0.818,0.56281,1.11363,0.87829,1.15337,0.000821,0.000821,0.000821
106,418.588,0.99166,0.83989,1.11127,0.72302,0.83645,0.81469,0.55448,1.16676,0.87829,1.18535,0.000816875,0.000816875,0.000816875
107,422.64,0.99194,0.84028,1.1115,0.78054,0.83171,0.84871,0.59093,1.0872,0.82335,1.16449,0.00081275,0.00081275,0.00081275
108,426.629,1.02661,0.84782,1.13016,0.7252,0.87152,0.81601,0.56776,1.09626,0.86481,1.16047,0.000808625,0.000808625,0.000808625
109,430.673,0.99318,0.82622,1.09121,0.79363,0.81297,0.84244,0.60501,1.07692,0.82101,1.1327,0.0008045,0.0008045,0.0008045
110,434.714,1.00118,0.82654,1.09129,0.78759,0.79779,0.82265,0.55624,1.17968,0.87597,1.18571,0.000800375,0.000800375,0.000800375
111,438.658,0.99752,0.85942,1.09499,0.7607,0.77904,0.80758,0.54466,1.13787,0.87259,1.17224,0.00079625,0.00079625,0.00079625
112,442.655,1.01275,0.86636,1.10436,0.80339,0.81863,0.86124,0.60373,1.08916,0.80624,1.12364,0.000792125,0.000792125,0.000792125
113,446.711,0.94356,0.82367,1.08172,0.74225,0.86504,0.85773,0.61005,1.07442,0.78678,1.14361,0.000788,0.000788,0.000788
114,450.751,0.96485,0.79941,1.08974,0.82224,0.83368,0.86371,0.61578,1.08704,0.77666,1.15231,0.000783875,0.000783875,0.000783875
115,454.788,0.99304,0.80742,1.08622,0.81444,0.81492,0.8602,0.60443,1.07707,0.79504,1.14015,0.00077975,0.00077975,0.00077975
116,458.785,0.97,0.77409,1.08097,0.8186,0.80993,0.86877,0.6382,1.04493,0.77689,1.13321,0.000775625,0.000775625,0.000775625
117,462.745,0.95983,0.80006,1.08334,0.81703,0.80163,0.86738,0.62233,1.05356,0.82928,1.12218,0.0007715,0.0007715,0.0007715
118,466.739,0.93901,0.79352,1.08003,0.8171,0.83275,0.88827,0.6526,1.02236,0.79442,1.1113,0.000767375,0.000767375,0.000767375
119,471.003,0.9325,0.78408,1.07871,0.79329,0.80129,0.88205,0.64638,1.04173,0.78598,1.10497,0.00076325,0.00076325,0.00076325
120,475.089,0.93309,0.73995,1.04764,0.76779,0.80715,0.8562,0.62757,1.04697,0.79958,1.12543,0.000759125,0.000759125,0.000759125
121,479.182,0.95438,0.77167,1.0685,0.81668,0.86794,0.87723,0.65094,1.03763,0.75325,1.11525,0.000755,0.000755,0.000755
122,483.174,0.93509,0.75461,1.05791,0.82986,0.8557,0.87626,0.64618,1.02828,0.75637,1.10672,0.000750875,0.000750875,0.000750875
123,487.125,0.94579,0.78644,1.06578,0.81587,0.86039,0.87432,0.64587,1.04266,0.76518,1.11415,0.00074675,0.00074675,0.00074675
124,491.061,0.91429,0.78942,1.08316,0.82359,0.87987,0.88358,0.64702,1.01587,0.75376,1.10097,0.000742625,0.000742625,0.000742625
125,494.977,0.93406,0.77841,1.08519,0.83838,0.85989,0.86788,0.65427,1.03314,0.76261,1.11296,0.0007385,0.0007385,0.0007385
126,498.993,0.94248,0.78393,1.0648,0.77747,0.85776,0.86146,0.65493,0.97295,0.74957,1.07426,0.000734375,0.000734375,0.000734375
127,502.994,0.91408,0.73408,1.06776,0.77753,0.86936,0.8681,0.627,1.04508,0.76265,1.12416,0.00073025,0.00073025,0.00073025
128,506.955,0.89122,0.73669,1.06666,0.83345,0.83481,0.86895,0.65205,0.97294,0.74078,1.0667,0.000726125,0.000726125,0.000726125
129,510.849,0.86066,0.70543,1.0307,0.82984,0.81319,0.87146,0.66244,0.95525,0.73231,1.07439,0.000722,0.000722,0.000722
130,514.776,0.8987,0.7472,1.07097,0.81209,0.90079,0.88878,0.66827,0.97741,0.71428,1.08461,0.000717875,0.000717875,0.000717875
131,518.643,0.93462,0.78639,1.06701,0.8374,0.88947,0.88205,0.65947,1.00335,0.73151,1.08872,0.00071375,0.00071375,0.00071375
132,522.573,0.91999,0.76469,1.05607,0.84014,0.90802,0.88071,0.65528,0.98211,0.73354,1.08149,0.000709625,0.000709625,0.000709625
133,526.479,0.93316,0.75589,1.07365,0.80397,0.88605,0.87346,0.64442,1.00842,0.73048,1.09187,0.0007055,0.0007055,0.0007055
134,530.401,0.89063,0.73921,1.05706,0.7987,0.87247,0.8782,0.66018,0.97376,0.72938,1.08283,0.000701375,0.000701375,0.000701375
135,534.239,0.88208,0.73803,1.0472,0.81402,0.8973,0.89035,0.64693,1.06364,0.74727,1.13402,0.00069725,0.00069725,0.00069725
136,538.15,0.8883,0.69924,1.03464,0.85878,0.82727,0.87985,0.65167,1.03597,0.73251,1.11641,0.000693125,0.000693125,0.000693125
137,542.097,0.87905,0.69525,1.03003,0.84303,0.87886,0.89113,0.66425,0.99758,0.70114,1.09068,0.000689,0.000689,0.000689
138,545.944,0.89432,0.70649,1.0435,0.8757,0.8464,0.88895,0.68115,0.97369,0.69314,1.08159,0.000684875,0.000684875,0.000684875
139,550.049,0.87328,0.72293,1.04348,0.84782,0.83607,0.88042,0.66514,0.9921,0.72249,1.08393,0.00068075,0.00068075,0.00068075
140,553.937,0.86592,0.70857,1.05422,0.8239,0.88168,0.88546,0.67209,0.96062,0.71046,1.06949,0.000676625,0.000676625,0.000676625
141,557.771,0.88028,0.6833,1.05331,0.83812,0.81074,0.865,0.65453,0.98353,0.74287,1.05745,0.0006725,0.0006725,0.0006725
142,561.659,0.89092,0.70536,1.05408,0.85726,0.86727,0.88048,0.66197,0.95623,0.71288,1.05055,0.000668375,0.000668375,0.000668375
143,565.505,0.9148,0.75201,1.06221,0.84483,0.86673,0.89261,0.68424,0.94101,0.70645,1.03897,0.00066425,0.00066425,0.00066425
144,569.363,0.88135,0.72487,1.04027,0.8119,0.85943,0.88272,0.67256,0.94052,0.71229,1.04781,0.000660125,0.000660125,0.000660125
145,573.206,0.83812,0.69593,1.03977,0.83427,0.88933,0.89873,0.67352,0.98157,0.72438,1.06783,0.000656,0.000656,0.000656
146,577.131,0.81615,0.64283,1.01468,0.81021,0.86831,0.88446,0.67487,0.95383,0.72179,1.07105,0.000651875,0.000651875,0.000651875
147,580.964,0.82857,0.67137,1.02529,0.81245,0.85181,0.86611,0.6519,0.98481,0.77864,1.09009,0.00064775,0.00064775,0.00064775
148,584.84,0.85501,0.69494,1.02497,0.84922,0.87776,0.88868,0.66907,0.98532,0.73417,1.07762,0.000643625,0.000643625,0.000643625
149,588.685,0.86023,0.66203,1.03587,0.83823,0.90061,0.89536,0.69227,0.92024,0.68797,1.04282,0.0006395,0.0006395,0.0006395
150,592.591,0.84589,0.65468,1.02889,0.81762,0.88268,0.87427,0.68861,0.89423,0.6732,1.02462,0.000635375,0.000635375,0.000635375
151,596.36,0.87533,0.70925,1.05477,0.79923,0.91134,0.87899,0.68697,0.90326,0.68579,1.02129,0.00063125,0.00063125,0.00063125
152,600.237,0.87747,0.67656,1.02858,0.84667,0.88902,0.90056,0.7092,0.90364,0.66517,1.03205,0.000627125,0.000627125,0.000627125
153,604.167,0.82665,0.6805,1.02534,0.85881,0.88391,0.89896,0.70545,0.91163,0.66322,1.02519,0.000623,0.000623,0.000623
154,607.953,0.84813,0.66621,1.03318,0.85314,0.86662,0.89526,0.69412,0.94712,0.67402,1.06644,0.000618875,0.000618875,0.000618875
155,611.802,0.84279,0.66049,1.03936,0.81229,0.91628,0.89305,0.6827,0.94736,0.66874,1.04112,0.00061475,0.00061475,0.00061475
156,615.656,0.82941,0.66151,1.02382,0.84981,0.86108,0.88663,0.66883,0.91156,0.67404,1.03756,0.000610625,0.000610625,0.000610625
