epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.32782,2.18143,3.85709,1.97508,0.00671,0.83343,0.14353,0.06067,1.86549,3.28708,1.69826,0.0001875,0.0001875,0.0001875
2,11.2134,1.67144,2.66928,1.52852,0.00805,0.86975,0.27648,0.12366,1.5786,2.94491,1.56005,0.000383664,0.000383664,0.000383664
3,15.0343,1.67897,2.36716,1.5126,0.51302,0.36368,0.33281,0.13422,1.71623,2.80447,1.56937,0.000575868,0.000575868,0.000575868
4,19.154,1.64402,2.23125,1.47669,0.66801,0.25128,0.28372,0.12767,1.61247,2.57437,1.54114,0.000764111,0.000764111,0.000764111
5,22.9486,1.58754,2.1056,1.43541,0.69424,0.2531,0.30057,0.13711,1.64676,2.40712,1.68353,0.000948395,0.000948395,0.000948395
6,26.727,1.55574,2.08982,1.45394,0.51844,0.38837,0.37657,0.14745,1.73122,2.29278,1.75981,0.00112872,0.00112872,0.00112872
7,30.4571,1.60682,1.99235,1.45773,0.60651,0.41377,0.43105,0.20596,1.73809,2.22643,1.68895,0.00117575,0.00117575,0.00117575
8,34.2045,1.5762,1.94201,1.42773,0.52602,0.39174,0.35368,0.14605,1.83452,2.81753,1.76622,0.00116337,0.00116337,0.00116337
9,37.8919,1.52334,1.90248,1.40932,0.54855,0.43138,0.461,0.21834,1.55234,2.56396,1.58815,0.001151,0.001151,0.001151
10,41.6396,1.53272,1.84877,1.39929,0.57192,0.36227,0.3996,0.19137,1.61512,2.14713,1.65598,0.00113863,0.00113863,0.00113863
11,45.3626,1.53406,1.80422,1.42746,0.71644,0.52316,0.55526,0.27115,1.55341,1.89666,1.52678,0.00112625,0.00112625,0.00112625
12,49.107,1.46141,1.6777,1.37709,0.50526,0.51005,0.50086,0.22246,1.72783,1.88841,1.69479,0.00111388,0.00111388,0.00111388
13,52.8548,1.47463,1.68435,1.38385,0.35586,0.49229,0.3925,0.1828,1.65521,1.87802,1.54424,0.0011015,0.0011015,0.0011015
14,56.5555,1.53029,1.70177,1.41898,0.43758,0.57434,0.43849,0.20016,1.68082,1.83462,1.59144,0.00108913,0.00108913,0.00108913
15,60.2806,1.49301,1.65945,1.36221,0.37149,0.70614,0.4619,0.22076,1.54939,1.71975,1.44106,0.00107675,0.00107675,0.00107675
16,63.9893,1.44806,1.609,1.35436,0.53148,0.64829,0.60571,0.29183,1.53423,1.56233,1.48982,0.00106437,0.00106437,0.00106437
17,67.7293,1.44116,1.59246,1.39073,0.55262,0.6319,0.62193,0.31653,1.4863,1.55828,1.4488,0.001052,0.001052,0.001052
