epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.47841,2.82188,3.87568,2.52727,0.00374,0.6,0.06097,0.01328,3.73004,4.47545,3.44519,0,0,0
2,12.4827,2.94362,3.7162,2.63832,0.00375,0.6,0.06078,0.01353,3.71247,4.48762,3.38436,1.6505e-05,1.6505e-05,1.6505e-05
3,15.5183,2.60187,3.60413,2.2646,0.00373,0.6,0.1123,0.02286,3.7229,4.46028,3.36656,3.26799e-05,3.26799e-05,3.26799e-05
4,18.1331,2.74631,3.66475,2.50307,0.00375,0.6,0.1151,0.02539,3.53918,4.3569,3.12597,4.85247e-05,4.85247e-05,4.85247e-05
5,20.8617,2.79728,4.00874,2.75135,0.00376,0.6,0.13276,0.02909,3.51125,4.28714,3.0266,6.40395e-05,6.40395e-05,6.40395e-05
6,23.4338,2.88364,3.65646,2.53828,0.00374,0.6,0.15086,0.03697,3.27775,4.17502,2.75996,7.92242e-05,7.92242e-05,7.92242e-05
7,26.1005,2.68009,3.67913,2.40266,0.00381,0.6,0.23742,0.05728,3.13953,4.17869,2.55024,9.40788e-05,9.40788e-05,9.40788e-05
8,29.2594,2.87147,3.62367,2.56179,0.00384,0.6,0.28855,0.0775,2.80849,4.0659,2.31373,0.000108603,0.000108603,0.000108603
9,32.0749,2.07297,3.40992,2.17214,0.00384,0.6,0.28855,0.0775,2.80849,4.0659,2.31373,0.000122798,0.000122798,0.000122798
10,34.6329,2.2709,3.38045,2.17682,0.00392,0.6,0.47623,0.15066,2.55067,3.90126,2.19059,0.000136662,0.000136662,0.000136662
11,37.2674,2.08004,3.66924,2.03495,0.00392,0.6,0.47623,0.15066,2.55067,3.90126,2.19059,0.000150197,0.000150197,0.000150197
12,39.8534,2.34003,3.14593,2.06549,0.00601,0.9,0.36495,0.09609,2.25062,3.94463,2.19742,0.000163401,0.000163401,0.000163401
13,42.6692,1.68004,3.08464,1.81122,0.00601,0.9,0.36495,0.09609,2.25062,3.94463,2.19742,0.000176275,0.000176275,0.000176275
14,45.4968,2.13883,3.32927,1.998,0.00541,0.8,0.58622,0.18409,2.0661,3.74825,1.9946,0.000188819,0.000188819,0.000188819
15,48.2374,1.97474,3.13354,1.88207,0.00541,0.8,0.58622,0.18409,2.0661,3.74825,1.9946,0.000201034,0.000201034,0.000201034
16,50.8174,1.80452,3.01929,1.75138,0.0067,1,0.56711,0.25158,1.70213,3.52464,1.62022,0.000212918,0.000212918,0.000212918
17,53.5702,1.87621,2.7058,1.79199,0.0067,1,0.56711,0.25158,1.70213,3.52464,1.62022,0.000224472,0.000224472,0.000224472
18,56.1378,1.79443,2.81139,1.78153,0.00668,1,0.66639,0.36366,1.32793,3.25344,1.33786,0.000235695,0.000235695,0.000235695
19,58.8562,1.53306,2.49007,1.58474,0.00668,1,0.66639,0.36366,1.32793,3.25344,1.33786,0.000246589,0.000246589,0.000246589
20,61.6361,1.38504,2.50574,1.64463,0.00669,1,0.75722,0.43256,1.12665,3.1308,1.27864,0.000257153,0.000257153,0.000257153
21,64.6984,1.52253,1.91531,1.63651,0.00669,1,0.75722,0.43256,1.12665,3.1308,1.27864,0.000267387,0.000267387,0.000267387
22,67.4425,1.50359,2.828,1.59893,0.00673,1,0.81806,0.51112,1.05295,3.02004,1.25045,0.00027729,0.00027729,0.00027729
23,70.0631,1.38701,2.13952,1.4796,0.00673,1,0.81806,0.51112,1.05295,3.02004,1.25045,0.000286864,0.000286864,0.000286864
24,72.693,1.45767,2.19716,1.47175,0.00673,1,0.81806,0.51112,1.05295,3.02004,1.25045,0.000296108,0.000296108,0.000296108
25,75.54,1.79448,2.20769,1.84381,0.00673,1,0.87106,0.56853,1.02256,2.87834,1.2113,0.000305021,0.000305021,0.000305021
26,78.0599,1.66468,1.94711,1.56868,0.00673,1,0.87106,0.56853,1.02256,2.87834,1.2113,0.000313604,0.000313604,0.000313604
27,80.7415,1.57035,2.03304,1.54361,0.00673,1,0.87106,0.56853,1.02256,2.87834,1.2113,0.000321858,0.000321858,0.000321858
28,83.3467,1.56649,1.86901,1.54651,0.61791,0.9,0.93056,0.55668,1.17703,2.74978,1.21345,0.000329781,0.000329781,0.000329781
29,86.0373,1.3387,1.85487,1.28697,0.61791,0.9,0.93056,0.55668,1.17703,2.74978,1.21345,0.000337374,0.000337374,0.000337374
30,88.5792,1.74038,2.07831,1.70267,0.61791,0.9,0.93056,0.55668,1.17703,2.74978,1.21345,0.000344637,0.000344637,0.000344637
31,91.2473,1.23465,1.66856,1.34239,0.85884,0.9,0.97833,0.53634,1.30271,2.67351,1.22822,0.00035157,0.00035157,0.00035157
32,93.8133,1.363,1.60249,1.24161,0.85884,0.9,0.97833,0.53634,1.30271,2.67351,1.22822,0.000358173,0.000358173,0.000358173
33,96.5429,1.54692,2.1339,1.45472,0.85884,0.9,0.97833,0.53634,1.30271,2.67351,1.22822,0.000364446,0.000364446,0.000364446
34,99.1966,1.13369,1.64613,1.34353,1,0.44049,0.995,0.63449,1.18933,2.51147,1.20274,0.000370389,0.000370389,0.000370389
35,102.156,1.25651,1.69096,1.34389,1,0.44049,0.995,0.63449,1.18933,2.51147,1.20274,0.000376002,0.000376002,0.000376002
36,106.975,1.43855,1.59874,1.43729,1,0.44049,0.995,0.63449,1.18933,2.51147,1.20274,0.000381285,0.000381285,0.000381285
37,109.772,1.27277,1.6768,1.2312,1,0.44049,0.995,0.63449,1.18933,2.51147,1.20274,0.000386237,0.000386237,0.000386237
38,112.719,1.36758,1.66093,1.27535,1,0.48244,0.995,0.61693,1.12069,2.48926,1.14538,0.00039086,0.00039086,0.00039086
39,115.435,1.30847,1.67943,1.32511,1,0.48244,0.995,0.61693,1.12069,2.48926,1.14538,0.000395152,0.000395152,0.000395152
40,118.897,1.15687,2.08657,1.26767,1,0.48244,0.995,0.61693,1.12069,2.48926,1.14538,0.000399115,0.000399115,0.000399115
41,121.79,1.31833,1.58706,1.30944,1,0.48244,0.995,0.61693,1.12069,2.48926,1.14538,0.000402747,0.000402747,0.000402747
42,124.468,1.18597,1.34003,1.12569,1,0.48618,0.995,0.61789,1.11983,2.4865,1.0774,0.00040605,0.00040605,0.00040605
43,127.398,1.4338,1.64891,1.31195,1,0.48618,0.995,0.61789,1.11983,2.4865,1.0774,0.000409022,0.000409022,0.000409022
44,130.13,1.28354,1.46312,1.15561,1,0.48618,0.995,0.61789,1.11983,2.4865,1.0774,0.000411664,0.000411664,0.000411664
45,132.968,1.33769,1.91926,1.33396,1,0.48618,0.995,0.61789,1.11983,2.4865,1.0774,0.000413976,0.000413976,0.000413976
46,135.785,1.27624,1.35563,1.24217,0.8657,0.96681,0.995,0.58026,1.17224,2.49504,1.09308,0.000415958,0.000415958,0.000415958
47,138.649,1.28993,1.66348,1.29475,0.8657,0.96681,0.995,0.58026,1.17224,2.49504,1.09308,0.00041761,0.00041761,0.00041761
48,141.308,1.11847,1.28754,1.18303,0.8657,0.96681,0.995,0.58026,1.17224,2.49504,1.09308,0.000418932,0.000418932,0.000418932
49,144.087,1.34758,1.75776,1.21851,0.8657,0.96681,0.995,0.58026,1.17224,2.49504,1.09308,0.000419924,0.000419924,0.000419924
50,146.822,1.3885,1.56296,1.23521,0.81767,0.6505,0.88786,0.56713,1.14582,2.29005,1.06557,0.000420586,0.000420586,0.000420586
51,149.63,1.38723,1.45747,1.2317,0.81767,0.6505,0.88786,0.56713,1.14582,2.29005,1.06557,0.000420918,0.000420918,0.000420918
