epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.595,2.51016,3.71926,2.46214,0.00373,0.6,0.06098,0.01327,3.73593,4.4856,3.45065,0,0,0
2,18.3485,2.91795,3.65807,2.61076,0.00376,0.6,0.05989,0.01329,3.64867,4.43906,3.31212,1.6505e-05,1.6505e-05,1.6505e-05
3,21.9742,2.17837,3.4235,2.1566,0.00377,0.6,0.11141,0.02334,3.54832,4.30559,3.15347,3.26799e-05,3.26799e-05,3.26799e-05
4,25.0877,2.34376,3.4858,2.3775,0.00374,0.6,0.12002,0.02935,3.22321,4.14827,2.85346,4.85247e-05,4.85247e-05,4.85247e-05
5,27.8906,2.81004,3.66317,2.74233,0.00379,0.6,0.16793,0.04433,2.96849,4.19059,2.57836,6.40395e-05,6.40395e-05,6.40395e-05
6,30.9158,2.4415,3.50486,2.19487,0.00385,0.6,0.12723,0.03846,2.8195,4.00934,2.4307,7.92242e-05,7.92242e-05,7.92242e-05
7,33.7206,2.30287,3.63065,2.22438,0.00394,0.6,0.19584,0.05582,2.64528,3.99379,2.29642,9.40788e-05,9.40788e-05,9.40788e-05
8,36.7484,2.48623,3.44941,2.26657,0.00398,0.6,0.28438,0.09625,2.4398,3.88746,2.05128,0.000108603,0.000108603,0.000108603
9,39.7077,1.85807,3.16556,1.81467,0.00398,0.6,0.28438,0.09625,2.4398,3.88746,2.05128,0.000122798,0.000122798,0.000122798
10,42.8141,2.21258,3.33248,2.15858,0.00409,0.6,0.48869,0.16724,2.32688,3.67823,1.91717,0.000136662,0.000136662,0.000136662
11,45.7786,1.49301,3.37508,1.7194,0.00409,0.6,0.48869,0.16724,2.32688,3.67823,1.91717,0.000150197,0.000150197,0.000150197
12,49.4441,2.40577,3.36513,2.18045,0.00676,1,0.63053,0.17346,2.0566,3.59478,1.67116,0.000163401,0.000163401,0.000163401
13,52.4307,1.49906,3.02603,1.62692,0.00676,1,0.63053,0.17346,2.0566,3.59478,1.67116,0.000176275,0.000176275,0.000176275
14,55.3736,1.95396,3.16043,1.92557,0.00713,1,0.92417,0.34175,1.5035,3.43819,1.44292,0.000188819,0.000188819,0.000188819
15,58.7313,1.70333,2.99163,1.73718,0.00713,1,0.92417,0.34175,1.5035,3.43819,1.44292,0.000201034,0.000201034,0.000201034
16,64.2494,1.64296,2.93118,1.68727,0.00733,1,0.94643,0.42958,1.38222,3.32119,1.33219,0.000212918,0.000212918,0.000212918
17,68.5138,1.40582,2.70502,1.5619,0.00733,1,0.94643,0.42958,1.38222,3.32119,1.33219,0.000224472,0.000224472,0.000224472
18,72.2354,1.38755,2.80169,1.65662,0.00776,1,0.8575,0.43938,1.37043,3.29957,1.32641,0.000235695,0.000235695,0.000235695
19,75.5417,1.3737,2.46203,1.45859,0.00776,1,0.8575,0.43938,1.37043,3.29957,1.32641,0.000246589,0.000246589,0.000246589
20,78.6599,1.49448,2.50903,1.57684,0.00803,1,0.92833,0.44917,1.32105,3.23761,1.29486,0.000257153,0.000257153,0.000257153
21,81.814,1.29195,1.96259,1.41846,0.00803,1,0.92833,0.44917,1.32105,3.23761,1.29486,0.000267387,0.000267387,0.000267387
22,85.0272,1.28993,2.2295,1.43484,0.00785,1,0.995,0.49274,1.2213,3.05103,1.16288,0.00027729,0.00027729,0.00027729
23,87.9022,1.17176,2.0169,1.35076,0.00785,1,0.995,0.49274,1.2213,3.05103,1.16288,0.000286864,0.000286864,0.000286864
24,90.8591,1.60699,2.09855,1.54858,0.00785,1,0.995,0.49274,1.2213,3.05103,1.16288,0.000296108,0.000296108,0.000296108
25,93.6763,1.45422,2.11614,1.51466,0.00752,1,0.96643,0.51256,1.13238,2.77471,1.06855,0.000305021,0.000305021,0.000305021
26,96.5369,1.46128,1.98672,1.4593,0.00752,1,0.96643,0.51256,1.13238,2.77471,1.06855,0.000313604,0.000313604,0.000313604
27,99.2715,1.21825,1.77483,1.33641,0.00752,1,0.96643,0.51256,1.13238,2.77471,1.06855,0.000321858,0.000321858,0.000321858
28,102.295,1.37405,1.84544,1.41321,0.76305,0.6795,0.995,0.63504,1.1423,2.4498,1.13187,0.000329781,0.000329781,0.000329781
29,104.977,1.13499,1.83257,1.20761,0.76305,0.6795,0.995,0.63504,1.1423,2.4498,1.13187,0.000337374,0.000337374,0.000337374
30,107.744,1.58872,2.07639,1.78524,0.76305,0.6795,0.995,0.63504,1.1423,2.4498,1.13187,0.000344637,0.000344637,0.000344637
31,110.504,1.28835,1.65165,1.36998,0.93408,0.86765,0.995,0.59254,1.01701,2.36756,1.04807,0.00035157,0.00035157,0.00035157
32,113.361,1.41039,1.5213,1.3047,0.93408,0.86765,0.995,0.59254,1.01701,2.36756,1.04807,0.000358173,0.000358173,0.000358173
33,116.104,1.31985,1.74996,1.31289,0.93408,0.86765,0.995,0.59254,1.01701,2.36756,1.04807,0.000364446,0.000364446,0.000364446
34,118.865,1.14406,1.66616,1.35554,0.69711,0.31916,0.88071,0.56812,1.05744,2.65589,1.02903,0.000370389,0.000370389,0.000370389
35,121.711,1.40886,1.92823,1.44631,0.69711,0.31916,0.88071,0.56812,1.05744,2.65589,1.02903,0.000376002,0.000376002,0.000376002
36,124.45,1.27361,1.97974,1.36318,0.69711,0.31916,0.88071,0.56812,1.05744,2.65589,1.02903,0.000381285,0.000381285,0.000381285
37,127.368,1.29995,1.71741,1.32661,0.69711,0.31916,0.88071,0.56812,1.05744,2.65589,1.02903,0.000386237,0.000386237,0.000386237
38,130.094,1.34119,1.67511,1.30196,0.65732,0.2748,0.81722,0.53413,1.20585,2.5909,1.1117,0.00039086,0.00039086,0.00039086
39,133.009,1.50777,1.92464,1.45572,0.65732,0.2748,0.81722,0.53413,1.20585,2.5909,1.1117,0.000395152,0.000395152,0.000395152
40,135.717,1.20321,1.95335,1.2961,0.65732,0.2748,0.81722,0.53413,1.20585,2.5909,1.1117,0.000399115,0.000399115,0.000399115
41,139.578,1.17964,1.57949,1.22861,0.65732,0.2748,0.81722,0.53413,1.20585,2.5909,1.1117,0.000402747,0.000402747,0.000402747
42,142.658,1.23438,1.43184,1.17993,1,0.19288,0.845,0.51766,1.31126,2.50826,1.19807,0.00040605,0.00040605,0.00040605
43,145.501,1.29602,1.69748,1.28461,1,0.19288,0.845,0.51766,1.31126,2.50826,1.19807,0.000409022,0.000409022,0.000409022
44,148.302,1.2545,1.59357,1.25958,1,0.19288,0.845,0.51766,1.31126,2.50826,1.19807,0.000411664,0.000411664,0.000411664
45,151.083,1.20316,1.62568,1.29435,1,0.19288,0.845,0.51766,1.31126,2.50826,1.19807,0.000413976,0.000413976,0.000413976
46,153.899,1.0999,1.29289,1.1669,0.74564,0.29895,0.77682,0.47123,1.47916,2.49892,1.32365,0.000415958,0.000415958,0.000415958
