epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,136.352,1.34827,1.78992,1.31028,1,0.4872,0.995,0.64493,1.13019,2.45032,1.1074,0.000409022,0.000409022,0.000409022
44,139.132,1.27731,1.57541,1.29182,1,0.4872,0.995,0.64493,1.13019,2.45032,1.1074,0.000411664,0.000411664,0.000411664
45,142.072,1.23326,1.84803,1.33077,1,0.4872,0.995,0.64493,1.13019,2.45032,1.1074,0.000413976,0.000413976,0.000413976
46,144.84,1.107,1.26865,1.20157,0.9647,0.60389,0.995,0.72207,1.11527,2.31522,1.07727,0.000415958,0.000415958,0.000415958
47,147.715,1.35169,1.58846,1.39641,0.9647,0.60389,0.995,0.72207,1.11527,2.31522,1.07727,0.00041761,0.00041761,0.00041761
48,150.681,1.155,1.41829,1.29267,0.9647,0.60389,0.995,0.72207,1.11527,2.31522,1.07727,0.000418932,0.000418932,0.000418932
49,153.6,1.50369,1.84959,1.28779,0.9647,0.60389,0.995,0.72207,1.11527,2.31522,1.07727,0.000419924,0.000419924,0.000419924
50,156.496,1.3918,1.38271,1.30821,0.93517,0.97797,0.995,0.73725,1.0748,2.14571,1.04425,0.000420586,0.000420586,0.000420586
51,159.381,1.31113,1.44689,1.25703,0.93517,0.97797,0.995,0.73725,1.0748,2.14571,1.04425,0.000420918,0.000420918,0.000420918
52,162.105,1.22876,1.71228,1.36261,0.93517,0.97797,0.995,0.73725,1.0748,2.14571,1.04425,0.000420919,0.000420919,0.000420919
53,165.094,1.03755,1.26752,1.15048,0.93517,0.97797,0.995,0.73725,1.0748,2.14571,1.04425,0.000420591,0.000420591,0.000420591
54,168.812,1.13893,1.58743,1.31915,0.93517,0.97797,0.995,0.73725,1.0748,2.14571,1.04425,0.000419932,0.000419932,0.000419932
55,172.32,1.19035,1.39715,1.32581,0.95794,1,0.995,0.77791,0.99723,1.95154,0.96749,0.000418944,0.000418944,0.000418944
56,175.275,1.17324,1.55113,1.24874,0.95794,1,0.995,0.77791,0.99723,1.95154,0.96749,0.000417625,0.000417625,0.000417625
57,180.397,1.31643,1.47334,1.17855,0.95794,1,0.995,0.77791,0.99723,1.95154,0.96749,0.000415977,0.000415977,0.000415977
58,184.283,1.12277,1.38436,1.14678,0.95794,1,0.995,0.77791,0.99723,1.95154,0.96749,0.000413998,0.000413998,0.000413998
59,187.355,1.04786,1.32613,1.2001,0.95794,1,0.995,0.77791,0.99723,1.95154,0.96749,0.000411689,0.000411689,0.000411689
60,190.474,1.15641,1.42284,1.30199,0.92554,1,0.995,0.76462,0.99276,1.79182,0.97614,0.00040905,0.00040905,0.00040905
61,193.612,1.04493,1.34485,1.11411,0.92554,1,0.995,0.76462,0.99276,1.79182,0.97614,0.000406081,0.000406081,0.000406081
62,197.333,1.04155,1.28605,1.19769,0.92554,1,0.995,0.76462,0.99276,1.79182,0.97614,0.000402782,0.000402782,0.000402782
63,201.275,0.95282,1.26978,1.19273,0.92554,1,0.995,0.76462,0.99276,1.79182,0.97614,0.000399153,0.000399153,0.000399153
64,204.645,1.04119,1.34206,1.15704,0.92554,1,0.995,0.76462,0.99276,1.79182,0.97614,0.000395194,0.000395194,0.000395194
65,207.75,1.15734,1.31867,1.24329,0.93532,1,0.995,0.74586,1.0495,1.62518,0.99793,0.000390905,0.000390905,0.000390905
66,211.265,0.95316,1.25701,1.12855,0.93532,1,0.995,0.74586,1.0495,1.62518,0.99793,0.000386286,0.000386286,0.000386286
67,214.409,1.052,1.19569,1.08958,0.93532,1,0.995,0.74586,1.0495,1.62518,0.99793,0.000381336,0.000381336,0.000381336
68,218.126,1.01736,1.48665,1.14833,0.93532,1,0.995,0.74586,1.0495,1.62518,0.99793,0.000376057,0.000376057,0.000376057
69,221.325,1.15556,1.53956,1.21945,0.93532,1,0.995,0.74586,1.0495,1.62518,0.99793,0.000370447,0.000370447,0.000370447
70,224.409,1.28907,1.3175,1.20303,0.93532,1,0.995,0.74586,1.0495,1.62518,0.99793,0.000364508,0.000364508,0.000364508
71,227.658,1.25897,1.44282,1.30304,0.93582,1,0.995,0.7485,1.02134,1.51442,1.00163,0.000358238,0.000358238,0.000358238
72,230.74,1.10538,1.13556,1.25987,0.93582,1,0.995,0.7485,1.02134,1.51442,1.00163,0.000351639,0.000351639,0.000351639
73,235.049,1.08903,1.14413,1.14931,0.93582,1,0.995,0.7485,1.02134,1.51442,1.00163,0.000344709,0.000344709,0.000344709
74,238.242,0.92537,1.13356,1.07134,0.93582,1,0.995,0.7485,1.02134,1.51442,1.00163,0.000337449,0.000337449,0.000337449
75,241.051,0.95886,1.54364,1.20694,0.93582,1,0.995,0.7485,1.02134,1.51442,1.00163,0.000329859,0.000329859,0.000329859
