epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7707,2.56139,3.6043,2.62186,0.00373,0.6,0.06104,0.0133,3.73629,4.46846,3.45226,0,0,0
2,15.5144,2.86721,3.78156,2.64137,0.00375,0.6,0.05999,0.01302,3.67027,4.37875,3.35377,1.6505e-05,1.6505e-05,1.6505e-05
3,19.1936,2.39656,3.50013,2.29566,0.00376,0.6,0.11008,0.02271,3.62174,4.5552,3.33881,3.26799e-05,3.26799e-05,3.26799e-05
4,23.1563,2.93175,3.69161,2.6579,0.00376,0.6,0.1125,0.02309,3.57747,4.30844,3.22061,4.85247e-05,4.85247e-05,4.85247e-05
5,27.1625,2.50871,3.40971,2.48238,0.00381,0.6,0.11782,0.02605,3.29892,4.25454,2.92342,6.40395e-05,6.40395e-05,6.40395e-05
6,30.7361,2.63748,3.63139,2.35381,0.00385,0.6,0.13947,0.03492,3.23596,4.32806,2.84409,7.92242e-05,7.92242e-05,7.92242e-05
7,34.7452,2.63731,3.67663,2.40823,0.00392,0.6,0.2613,0.10167,2.726,4.06511,2.44363,9.40788e-05,9.40788e-05,9.40788e-05
8,38.501,2.74397,3.47928,2.44341,0.004,0.6,0.35701,0.1659,2.39793,3.78493,2.20381,0.000108603,0.000108603,0.000108603
9,42.1328,1.98418,3.30284,1.96853,0.004,0.6,0.35701,0.1659,2.39793,3.78493,2.20381,0.000122798,0.000122798,0.000122798
10,45.2702,2.19462,3.37507,2.13589,0.004,0.6,0.54072,0.25517,2.1331,3.82668,2.04931,0.000136662,0.000136662,0.000136662
11,48.3557,1.61976,3.5061,1.76507,0.004,0.6,0.54072,0.25517,2.1331,3.82668,2.04931,0.000150197,0.000150197,0.000150197
12,52.5586,2.41639,3.27177,2.16244,0.00418,0.6,0.4715,0.24578,2.10466,3.776,1.97234,0.000163401,0.000163401,0.000163401
13,55.5973,1.65077,3.1829,1.80754,0.00418,0.6,0.4715,0.24578,2.10466,3.776,1.97234,0.000176275,0.000176275,0.000176275
14,58.6888,2.1052,3.12341,1.98404,0.00672,1,0.61705,0.23022,1.91059,3.65521,1.84549,0.000188819,0.000188819,0.000188819
15,61.4512,1.64195,3.05471,1.75064,0.00672,1,0.61705,0.23022,1.91059,3.65521,1.84549,0.000201034,0.000201034,0.000201034
16,64.5717,1.83271,3.17579,1.76253,0.0067,1,0.77693,0.44015,1.39021,3.32272,1.51352,0.000212918,0.000212918,0.000212918
17,67.3663,1.66965,2.88488,1.68967,0.0067,1,0.77693,0.44015,1.39021,3.32272,1.51352,0.000224472,0.000224472,0.000224472
18,70.2704,1.43509,2.7019,1.61231,0.00669,1,0.79353,0.39496,1.28183,3.25877,1.35968,0.000235695,0.000235695,0.000235695
19,73.2603,1.32797,2.65399,1.43816,0.00669,1,0.79353,0.39496,1.28183,3.25877,1.35968,0.000246589,0.000246589,0.000246589
20,76.3051,1.44503,2.59908,1.50503,0.00667,1,0.90333,0.54141,1.13576,3.10174,1.19934,0.000257153,0.000257153,0.000257153
21,79.1119,1.2692,2.13134,1.29696,0.00667,1,0.90333,0.54141,1.13576,3.10174,1.19934,0.000267387,0.000267387,0.000267387
22,82.1541,1.54563,2.48913,1.59304,0.00667,1,0.96643,0.59109,1.19555,3.03344,1.16681,0.00027729,0.00027729,0.00027729
23,85.1502,1.37923,2.09975,1.35603,0.00667,1,0.96643,0.59109,1.19555,3.03344,1.16681,0.000286864,0.000286864,0.000286864
24,87.9168,1.60997,2.26266,1.61295,0.00667,1,0.96643,0.59109,1.19555,3.03344,1.16681,0.000296108,0.000296108,0.000296108
25,90.7987,1.60858,2.33901,1.61359,0.00667,1,0.9575,0.59465,1.15804,2.91305,1.16289,0.000305021,0.000305021,0.000305021
26,93.7049,1.28278,1.81866,1.32509,0.00667,1,0.9575,0.59465,1.15804,2.91305,1.16289,0.000313604,0.000313604,0.000313604
27,96.6818,1.39674,1.83964,1.37954,0.00667,1,0.9575,0.59465,1.15804,2.91305,1.16289,0.000321858,0.000321858,0.000321858
